Authors,Year,Journal,Title,Citations,Theme,Key_Finding
Hoegh-Guldberg et al.,2007,Science,Coral reefs under rapid climate change and ocean acidification,6420,Biogeochemical & Acidification,Synergistic threshold of 450ppm CO2 and +2C leads to widespread carbonate dissolution.
Hughes et al.,2018,Science,Spatial and temporal patterns of mass bleaching of corals in the Anthropocene,2180,Thermal Stress & Climatology,Recurrence interval between mass bleaching events has halved since 1980 to 5.9 years.
Anthony et al.,2011,Global Change Biology,Ocean acidification and warming will lower coral reef resilience,890,Resilience Modeling,Compounded acidification reduces critical thermal bleaching threshold by 1.0-1.5C.
Mumby et al.,2007,Nature,Thresholds and the resilience of Caribbean coral reefs,1450,Ecological Dynamics,Hysteresis and bistability between coral and macroalgal states mediated by herbivory grazing.
Liu et al.,2014,Remote Sensing,NOAA Coral Reef Watch 50 km and 5 km satellite coral bleaching monitoring products,680,Remote Sensing & CRW,Operational 5km satellite products enhance localized alert accuracy for coral heat stress.
Lyons et al.,2020,Ecological Indicators,Mapping the world's coral reefs using high-resolution satellite imagery and machine learning,340,Machine Learning GIS,Global Random Forest benthic classification achieves 78% overall accuracy on PlanetScope data.
Rasheed et al.,2020,IEEE Access,"Digital twin: Values, challenges and enablers from a modeling perspective",1250,Digital Twin Architecture,Formalizes 6-layer cyber-physical data assimilation and hybrid physics-AI workflows.
Beyer et al.,2018,Conservation Letters,Risk-sensitive planning for conserving coral reefs under rapid climate change,290,Spatial Conservation,Identifies 50 priority reef bioclimatic biocapsules for climate change portfolio conservation.
Voolstra et al.,2021,Nature Protocols,Standardized short-term acute thermal stress assays for rapidly assessing coral heat tolerance,210,Experimental Restoration,CBASS protocol allows rapid phenotypic identification of thermally resilient super-corals.
CoralTwin-DT Consortium,2026,Global Change Biology (In Prep),Digital twin of coral reefs under thermal stress and ocean acidification for restoration prioritization,0,Integrated Cyber-Physical Twin,Coupled 6-layer architecture with XGBoost and TreeSHAP enables decadal spatial restoration optimization.
